;Title;Date;Time;Score;Number of Comments
200;Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%;4/14/2017;16:49:11;13969;1520
201;British Woman Stabbed to Death in Israel;4/14/2017;15:50:45;429;206
202;Muslim woman stabbed and beaten after attacker tries to tear off her hijab;4/14/2017;7:09:47;1041;484
203;US drops largest non-nuclear bomb in Afghanistan in area populated by Isis members;4/13/2017;20:43:28;52689;13447
204;Lawyer says passenger dragged from United flight suffered significant concussion, broken nose and lost two front teeth;4/13/2017;19:23:03;13068;2204
205;Georgia officer fired after kicking man in head during traffic stop, police say;4/14/2017;1:11:49;1272;124
206;NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates;4/13/2017;16:17:40;13296;6566
207;Musk says Tesla set to unveil semi truck in September;4/13/2017;22:00:02;1663;411
208;Judge praises former LDS bishop, while sentencing him for rape, as victim listens;4/14/2017;17:52:03;41;12
209;Trump signs law targeting funding for abortion providers/Planned Parenthood;4/13/2017;22:20:24;1363;880
210;College Student Says All My Bones Were Shattering in My Face as She Was Body-Slammed by Cop;4/14/2017;5:57:19;313;321
211;Drunk harassed N.J. mom on flight, but United kept booze flowing, report says;4/13/2017;16:50:22;3745;306
212;Black Lives Matter release video of police dragging man from his car and kicking him in the face;4/13/2017;15:58:02;3631;1299
213;Vaccination rate jumps in California after tougher inoculation law;4/13/2017;23:32:20;762;139
214;Manhunt suspect Joseph Jakubowski caught and arrested;4/14/2017;17:12:15;25;2
215;Experimental rocket explosion injures 4 at University of Idaho;4/14/2017;11:42:52;59;5
216;Air China to suspend Beijing-Pyongyang flights: Chinese state TV;4/14/2017;17:45:40;19;16
217;Court: Woman raped in state hospital cant sue for damages;4/13/2017;19:06:58;1117;195
218;Law enforcement officers may be illegally selling guns, ATF says;4/13/2017;15:51:37;1790;263
219;U.S. may launch strike if North Korea reaches for nuclear trigger;4/14/2017;3:54:11;188;170
220;A Delaware judge on Thursday convicted a 17-year-old girl charged with homicide after a school bathroom fight that left a 16-year-old girl dead.;4/13/2017;18:04:27;1084;255
221;Tesla Inks 1.3million sqft Warehouse Lease Deal, now the Biggest Industrial Lease Deal In San Francisco Bay Area History;4/14/2017;9:55:03;48;9
222;US Sikhs Launch Ad Campaign That Looks to Push Back on Hate;4/13/2017;21:00:25;467;99
223;Scorpion stings man on United Airlines flight;4/13/2017;17:22:18;888;169
224;Golden Gate Bridge suicide barriers going up after 1,500 deaths;4/14/2017;17:28:35;11;11
225;US lakes soaking up road salt, some heading toward toxic levels;4/14/2017;0:10:32;239;40
226;Choate prep school investigation uncovers decades of sexual abuse;4/14/2017;18:19:42;7;0
227;36 ISIS fighters killed by US mother of all bombs: Afghan official;4/14/2017;10:24:27;28;53
228;Texas issues mumps advisory: Cases reach 20-year high;4/14/2017;18:39:43;5;1
229;Nintendeo has discontinued the NES classic mini in North America;4/13/2017;23:38:58;171;87
230;First African-American Woman to Serve on States Highest Court Found Dead in Hudson River;4/13/2017;3:45:06;36974;3885
231;Melbourne milk bar bans black teenagers;4/14/2017;10:30:26;27;36
232;Passengers with smartphones are better than any new airline regulation, says ex-Virgin America chairman;4/14/2017;0:07:44;155;27
233;Quotes from North Korean official about tensions with US;4/14/2017;11:07:45;20;20
234;Texas student commits suicide after Title IX kangaroo court;4/13/2017;9:13:25;2271;835
235;Microsoft says U.S. foreign intelligence surveillance requests more than doubled;4/14/2017;2:48:50;82;2
236;Florida On Fire: A total of 105 active wildfires, spanning some 17,092 acres rage across Florida.;4/14/2017;17:43:49;7;3
237;NYCs Newest Weapon Against the Rats? Sterilization;4/14/2017;17:34:25;6;0
